,comments,CleanedText
2350,Poor quality,Poor quality
2351,it would be better if its width is a littlebit more,it would be better if its width is a littlebit more
2352,The quality of the material of the bag looks very low,The quality of the material of the bag looks very low
2353,Best product in this rangeMust purchase,Best product in this rangeMust purchase
2354,,
2355,Value of money look like goodsQuality is very goodI love it this bagI'm happy to this purchase,Value of money look like goodsQuality is very goodI love it this bagI'm happy to this purchase
2356,This product is just amazing 👏just loved it,This product is just amazing 👏just loved it
2357,Average quality,Average quality
2358,It is original and fabulous bag it have too space and very good for school going guys also very worthy product,It is original and fabulous bag it have too space and very good for school going guys also very worthy product
2359,Awesome product,Awesome product
2360,Not fit for Rainy season,Not fit for Rainy season
2361,good quality,good quality
2362,"When I ordered this product considering it was from American Tourister, when the actual product arrived I found the quality of the bag material quite flimsy. The overall weight of the bag was less & the overall product was not even okayish. The pockets shown in the pictures shown it could contain various things very easily. But the actual product had very simple yet not useful pockets inside. For me, travelling in public transport I can not trust this bag can hold my valuables like wallet or mobile for that matter. Returned after 1 day as it was completely useless for my daily needs.","When I ordered this product considering it was from American Tourister, when the actual product arrived I found the quality of the bag material quite flimsy. The overall weight of the bag was less & the overall product was not even okayish. The pockets shown in the pictures shown it could contain various things very easily. But the actual product had very simple yet not useful pockets inside. For me, travelling in public transport I can not trust this bag can hold my valuables like wallet or mobile for that matter. Returned after 1 day as it was completely useless for my daily needs."
2363,material is really thin. but it is very light weighted,material is really thin. but it is very light weighted
2364,Colour of the bag look somemuch  different from image,Colour of the bag look somemuch  different from image
2365,Thread stretch is not good in solder side,Thread stretch is not good in solder side
2366,When I used it during the rain times my all things in the bagpack got heavily weted,When I used it during the rain times my all things in the bagpack got heavily weted
2367,Good one ..,Good one .
2368,it is very nice and good in colour and it is same in colour,it is very nice and good in colour and it is same in colour
2369,So nice quality,So nice quality
2370,Very nice product locking so good,Very nice product locking so good
2371,Value for money product,Value for money product
2372,Good as a price range,Good as a price range
2373,Good,Good
2374,No laptop pouch.. quality is not so good,No laptop pouch. quality is not so good
2375,"Beautiful bag,go for it","Beautiful bag,go for it"
2376,It was not upto my expectations.As I am already using American Tourists bag pack.The quality compared is too low.And the provision of double le zips not provided.,It was not upto my expectations. As I am already using American Tourists bag pack. The quality compared is too low. And the provision of double le zips not provided.
2377,I liked its waterproof quality but after 1wash the printing and colour gets dull and its an average type of bag for travelling,I liked its waterproof quality but after 1wash the printing and colour gets dull and its an average type of bag for travelling
2378,Overall nice,Overall nice
2379,"Nice bag and all that, just a bit iffy on the zips. They somehow ten get tangled","Nice bag and all that, just a bit iffy on the zips. They somehow ten get tangled"
2380,got this at 799. excellent product at this price,got this at 799. excellent product at this price
2381,It tore off very quickly. Not sure if it’s authentic,It tore off very quickly. Not sure if it’s authentic
2382,Good for schools and colleges but not for traveling.,Good for schools and colleges but not for traveling.
2383,Light weight & water resistant,Light weight & water resistant
2384,Nice color. The product is almost same as shown in the picture. I gifted it to my brother and he loved it.Also I bought one more bag (blue) to my sister.. American Touroster is best one both in quality and economy..,Nice color. The product is almost same as shown in the picture. I gifted it to my brother and he loved it. Also I bought one more bag (blue) to my sister. American Touroster is best one both in quality and economy.
2385,Good product but doesn't come with laptop safety,Good product but doesn't come with laptop safety
2386,Good product easy to carry,Good product easy to carry
2387,The material feels really cheap. Returned it.,The material feels really cheap. Returned it.
2388,Worth value,Worth value
2389,Good bag.I bought this Rs.700,Good bag. I bought this Rs.700
2390,"It's is water resistant ,light weight","It's is water resistant ,light weight"
2391,Quality is bad,Quality is bad
2392,Bought it for my sister..she just loved it..I am also using an American tourister for the past 5+ years and it feels the same as new..by this bag should have a water resistant pouch..otherwise I loved it,Bought it for my sister. she just loved it. I am also using an American tourister for the past 5+ years and it feels the same as new. by this bag should have a water resistant pouch. otherwise I loved it
2393,Good,Good
2394,American Tourist kept its quality intact for more than decade .Quality always above expectation 👍,American Tourist kept its quality intact for more than decade . Quality always above expectation 👍
2395,Value for money,Value for money
2396,Best packagingDelivery person is so humble.Received the product as shown in picture.#SatisfiedWorth buying.,Best packagingDelivery person is so humble. Received the product as shown in picture.#SatisfiedWorth buying.
2397,I Am impressed with American tourist bag I am using 2 months and very very good thanks to America tourist and Amazon service best service thanks to amezon.,I Am impressed with American tourist bag I am using 2 months and very very good thanks to America tourist and Amazon service best service thanks to amezon.
2398,Bag quality is too badand for that Quality item is very bad..,Bag quality is too badand for that Quality item is very bad.
2399,Awesome experience...using it for more than a year...,Awesome experience. using it for more than a year.
2400,Found a good bag under this range comparative to other brands.,Found a good bag under this range comparative to other brands.
2401,It looks very good and is available at a very low price. Good it is made up of things and good things.,It looks very good and is available at a very low price. Good it is made up of things and good things.
2402,Not a good product at this range,Not a good product at this range
2403,It's duplicate copy not original american  tourister beg,It's duplicate copy not original american  tourister beg
2404,Product  is good but with in 6 monts jeeps was gone quality  of bag inside Is Bad,Product  is good but with in 6 monts jeeps was gone quality  of bag inside Is Bad
2405,Over all it is good,Over all it is good
2406,Not expected something like this from a brand like American tourister.The stitching started to fall apart with in a month's use. And it's not even used in trips or to carry heavy load of books. Only a laptop. Not sure what to trust if a brand Ike this cannot be durable for even 1 month.,Not expected something like this from a brand like American tourister. The stitching started to fall apart with in a month's use. And it's not even used in trips or to carry heavy load of books. Only a laptop. Not sure what to trust if a brand Ike this cannot be durable for even 1 month.
2407,I need to retain,I need to retain
2408,Previous i bought from American tourister showroom. In that rain cover(for bag) got along with Bag. but received one not having the rain cover.,Previous i bought from American tourister showroom. In that rain cover(for bag) got along with Bag. but received one not having the rain cover.
2409,"The media could not be loaded.
                



 Zip not working","The media could not be loaded.
                



 Zip not working"
2410,Nice light weighted .very easy to carry.,Nice light weighted . very easy to carry.
2411,A good and useful product for travelling,A good and useful product for travelling
2412,Zip is a bit of issue otherwise great product value for money,Zip is a bit of issue otherwise great product value for money
2413,Good,Good
2414,Its same as shown in the picture and the quality is superb. I dint find it light weight like wildcraft but it's a worthy product and the inside quality of the bag is too good.,Its same as shown in the picture and the quality is superb. I dint find it light weight like wildcraft but it's a worthy product and the inside quality of the bag is too good.
2415,Light weight,Light weight
2416,Didn't think that I will get this with lots of difference....but the product is ok......,Didn't think that I will get this with lots of difference. but the product is ok.
2417,Worth buying. Good quality,Worth buying. Good quality
2418,The strap broke in 4 days,The strap broke in 4 days
2419,Quality is really good u should buy this bag in this price range its best in my opinion,Quality is really good u should buy this bag in this price range its best in my opinion
2420,"Its a duplicate product. Bought on 10th June 2019. After few months of use the side water bottle pockets were tear off. I ignored it. Last month, all the stitching and thread of bottom and inside of bag started tearing apart. Contacted amazon for warranty, they took almost an hour and NOT provided any correct number of American Tourister or dealer address for claiming warranty. Amazon support staff doesn't have any proper information for claiming warranty. Wasted my Money and Time. Like to give negative ratting for this. DONT TRUST CLOUDTAIL PRODUCTS.","Its a duplicate product. Bought on 10th June 2019. After few months of use the side water bottle pockets were tear off. I ignored it. Last month, all the stitching and thread of bottom and inside of bag started tearing apart. Contacted amazon for warranty, they took almost an hour and NOT provided any correct number of American Tourister or dealer address for claiming warranty. Amazon support staff doesn't have any proper information for claiming warranty. Wasted my Money and Time. Like to give negative ratting for this. DONT TRUST CLOUDTAIL PRODUCTS."
2421,Shandar quality with 1 year warranty  i think this is best beg for daily use i am salesman so i need this type durable beg thanx amazon,Shandar quality with 1 year warranty  i think this is best beg for daily use i am salesman so i need this type durable beg thanx amazon
2422,It's a wonderful product,It's a wonderful product
2423,Super product,Super product
2424,Its light but the quality is not upto mark.,Its light but the quality is not upto mark.
2425,"Material quality feels cheap, good luggage capacity ,and its lightweight.Best of luck 👍🏻","Material quality feels cheap, good luggage capacity ,and its lightweight. Best of luck 👍🏻"
2426,"One of my worst decision to buy this bag. Not even a month and the stiches are off. The chain gets detached. 2 times I repared locally because the chain didn't close. From inside the bag, threads are not stiched.Plz think twice before ordering this bag.","One of my worst decision to buy this bag. Not even a month and the stiches are off. The chain gets detached. 2 times I repared locally because the chain didn't close. From inside the bag, threads are not stiched. Plz think twice before ordering this bag."
2427,Ok,Ok
2428,Value for money,Value for money
2429,But the water bottle slot has got torn as it was purchased only 3 to 4 months,But the water bottle slot has got torn as it was purchased only 3 to 4 months
2430,Colour combination is good..i am really happy with the product,Colour combination is good. i am really happy with the product
2431,Look wise good but quality could be better.Little different from picture,Look wise good but quality could be better. Little different from picture
2432,"Am dislike the product,,,the solder belt stitch is damaged after two days from received","Am dislike the product,,,the solder belt stitch is damaged after two days from received"
2433,Very spacious and on time delivery..,Very spacious and on time delivery.
2434,Inner quality a bit thin than usual but overall it's good according to price,Inner quality a bit thin than usual but overall it's good according to price
2435,Nice product...worthy one..,Nice product. worthy one.
2436,Good,Good
2437,The product looks same as it is shown but the quality is not upto standard.,The product looks same as it is shown but the quality is not upto standard.
2438,The bag is good and space is also very good in bag.  But the bag is damaged..  Stitches of bag are open..,The bag is good and space is also very good in bag.  But the bag is damaged.  Stitches of bag are open.
2439,It's perfect,It's perfect
2440,Value for money,Value for money
2441,Super product.....100% original and specify product...1 year warranty card..and lite Wight...and beautiful colour combinations..i like it...,Super product.100% original and specify product.1 year warranty card. and lite Wight. and beautiful colour combinations. i like it.
2442,"No need to buy, totally waste of money","No need to buy, totally waste of money"
2443,Yes,Yes
2444,Best quality product.......stylish bag........ it's Light weight.......good for traveling👍,Best quality product. stylish bag. it's Light weight. good for traveling👍
2445,Great,Great
2446,"I would recommend everyone to buy it. Cheap, long lasting, good brand, lightweight, what's not to love?","I would recommend everyone to buy it. Cheap, long lasting, good brand, lightweight, what's not to love."
2447,Light weight,Light weight
2448,Nice and value for money,Nice and value for money
2449,Good quality,Good quality
2450,Not so worth. Quality not good,Not so worth. Quality not good
2451,The name is enough,The name is enough
2452,Nice,Nice
2453,Good,Good
2454,Not as good as per my expectation.It has been damage within 3 month,Not as good as per my expectation. It has been damage within 3 month
2455,Its too much good product,Its too much good product
2456,Size as not Aspects like that,Size as not Aspects like that
2457,Good for students spaces benefecial,Good for students spaces benefecial
2458,It is a really great product👍,It is a really great product👍
2459,"It's really an awesome product..thank you soo much, very light weight, and very comfortable","It's really an awesome product. thank you soo much, very light weight, and very comfortable"
2460,Very good,Very good
2461,"This is fake bag it seems,  the bag was torn with 15 days with limited usage. Don't recommend. Don't Buy","This is fake bag it seems,  the bag was torn with 15 days with limited usage. Don't recommend. Don't Buy"
2462,"As always, top quality, attractive, long lasting, strong, dependable.","As always, top quality, attractive, long lasting, strong, dependable."
2463,I like it very much it has 3 pockets. In first pockets it has 4 types of pockets it is water proof light weight suitable fora child and for value of money Also it best,I like it very much it has 3 pockets. In first pockets it has 4 types of pockets it is water proof light weight suitable fora child and for value of money Also it best
2464,the bag of colour is ver nice  and bag cloth is 100% polyster,the bag of colour is ver nice  and bag cloth is 100% polyster
2465,Great design but poor cloth quality.Cloth got tored within 3 months.Not satisfied with quality.,Great design but poor cloth quality. Cloth got tored within 3 months. Not satisfied with quality.
2466,Best purchase everbest bag under 800,Best purchase everbest bag under 800
2467,It's not original American Tourister but a good one,It's not original American Tourister but a good one
2468,I bought an American tourister bag two months back. The bag quality was nice. I feel light weight when I was keep my lunch box in the bag.,I bought an American tourister bag two months back. The bag quality was nice. I feel light weight when I was keep my lunch box in the bag.
2469,i  Recommend u guys  Don't Purchase this Product..Its just like  as local brands..not like as American tourist bagpack...verry thin quality products...,i  Recommend u guys  Don't Purchase this Product. Its just like  as local brands. not like as American tourist bagpack. verry thin quality products.
2470,Very defective product. Poor quality. Don't buy this item. I felt sad after buy this one. ADISA bags in Amazon is better than this bag.,Very defective product. Poor quality. Don't buy this item. I felt sad after buy this one. ADISA bags in Amazon is better than this bag.
2471,Its very good bag,Its very good bag
2472,The product seems to be genuine but the quality could have been a bit more better,The product seems to be genuine but the quality could have been a bit more better
2473,"Beautiful look , fine stitching but no special space for laptop.....overall best deal for this price","Beautiful look , fine stitching but no special space for laptop. overall best deal for this price"
2474,Best product must buy,Best product must buy
2475,"Awesome product, for using school and traveling all purposes beg and yes,,  this is American Tourister beg brand,, and thanx to Amazon who offer me cheap rate in Festval time","Awesome product, for using school and traveling all purposes beg and yes,,  this is American Tourister beg brand,, and thanx to Amazon who offer me cheap rate in Festval time"
2476,Best bag,Best bag
2477,This is just 4-500 rs bag or better to say the 2nd copy of the American Tourister. The overall quality is the lowest - doesn't match from an inch of original A.T products. I am returning this product just after 30 minutes of receiving.,This is just 4-500 rs bag or better to say the 2nd copy of the American Tourister. The overall quality is the lowest - doesn't match from an inch of original A. T products. I am returning this product just after 30 minutes of receiving.
2478,Amazing bag... Can pack four pairs of clothes... If u plan for a journey... Looks exactly like the picture... Strong and durable...,Amazing bag. Can pack four pairs of clothes. If u plan for a journey. Looks exactly like the picture. Strong and durable.
2479,Yes satisfy,Yes satisfy
2480,Very nice bag with great durability.,Very nice bag with great durability.
2481,"Looking, finished, great.. better for traveling, AMERICAN TOURISTER IS A GREAT COMPANY.  I HAVE NO WORDS TO DESCRIBE IT, ONLY CAN SAY..GREAT..","Looking, finished, great. better for traveling, AMERICAN TOURISTER IS A GREAT COMPANY.  I HAVE NO WORDS TO DESCRIBE IT, ONLY CAN SAY. GREAT."
2482,I liked this bag 🎒 😍,I liked this bag 🎒 😍
2483,Very good product.,Very good product.
2484,"Ba material is not hard as seen in picture, but overall look and quality is perfect","Ba material is not hard as seen in picture, but overall look and quality is perfect"
2485,Good,Good
2486,"Fake product. Thin material. The packagin got torn too. Pathetic service and product. When you check out for the model number in American Tourister site, it is not available.","Fake product. Thin material. The packagin got torn too. Pathetic service and product. When you check out for the model number in American Tourister site, it is not available."
2487,It's good,It's good
2488,Super,Super
2489,The arriving is to fast and good and quality of bag is also good!!,The arriving is to fast and good and quality of bag is also good.
2490,Best quality at this price range. don't forget to check out and buy it.,Best quality at this price range. don't forget to check out and buy it.
2491,Good packaging and good quality product. It's very light weight with much space. Love the colour and design. Go for it,Good packaging and good quality product. It's very light weight with much space. Love the colour and design. Go for it
2492,"It's not like branded bag, looks like cheap bag.","It's not like branded bag, looks like cheap bag."
2493,IT'S TOO GOOD....GOOD FOR HEAVY USAGE,IT'S TOO GOOD. GOOD FOR HEAVY USAGE
2494,"Worst bag ever. I have ordered gery colour bag which is in the picture. But I have received local American tourister bag, which has low quality and also it looks like it's already been used","Worst bag ever. I have ordered gery colour bag which is in the picture. But I have received local American tourister bag, which has low quality and also it looks like it's already been used"
2495,Good but laptop compartment is  not available only in school or college bag is good....,Good but laptop compartment is  not available only in school or college bag is good.
2496,"We can carry different type of stuffs .You can use it for college,schools, traveling,etc. and it is quite comfortable","We can carry different type of stuffs . You can use it for college,schools, traveling,etc. and it is quite comfortable"
2497,Nice and sturdy product . Very nice look also. Very good product for traveling and school use also. Very light in weight.,Nice and sturdy product . Very nice look also. Very good product for traveling and school use also. Very light in weight.
2498,Good,Good
2499,Nice product👌👌👌👌👌Osm 🤗🤗🤗🔥🔥🔥🔥🤩🤩🤩,Nice product👌👌👌👌👌Osm 🤗🤗🤗🔥🔥🔥🔥🤩🤩🤩
2500,🤮🤮,🤮🤮
2501,"There's many side pocket inside and out. So, theres many things that yoy can put thers,so this is one of the main important thing for travellers","There's many side pocket inside and out. So, theres many things that yoy can put thers,so this is one of the main important thing for travellers"
2502,Good for college,Good for college
2503,It's best to give a rain cover to the bag because it is most reasonable price I have ever seen,It's best to give a rain cover to the bag because it is most reasonable price I have ever seen
2504,Bag is of good quality,Bag is of good quality
2505,I love the fact that it's very lightweight and comfortable for travelling,I love the fact that it's very lightweight and comfortable for travelling
2506,really nice and thank you seller.,really nice and thank you seller.
2507,Good product,Good product
2508,Seriously a great bag must buy very cheap price of such a great product 😍,Seriously a great bag must buy very cheap price of such a great product 😍
2509,Nice 👍🏾👍🏾👍🏾👍🏾👍🏾,Nice 👍🏾👍🏾👍🏾👍🏾👍🏾
2510,Looks good on images when the product arrived was.very dissatisfied as this is a first copy item not the original. Padding in the bags were poor and stick was imperfect. This can't be a original American touristed.,Looks good on images when the product arrived was. very dissatisfied as this is a first copy item not the original. Padding in the bags were poor and stick was imperfect. This can't be a original American touristed.
2511,Spacious,Spacious
2512,I like this product very nice,I like this product very nice
2513,The product is not good,The product is not good
2514,Good product.Good quality material is been used in this product also the stripes are very strong for carrying heavy load.,Good product. Good quality material is been used in this product also the stripes are very strong for carrying heavy load.
2515,Good,Good
2516,"Material quality is excellent, but a bit smaller in size than what I was expecting.","Material quality is excellent, but a bit smaller in size than what I was expecting."
2517,Good for travel,Good for travel
2518,The bag is good  but the cloth quality is bad and the bag is quite big,The bag is good  but the cloth quality is bad and the bag is quite big
2519,Excellent product,Excellent product
2520,Gud quality bag,Gud quality bag
2521,Good in this price range,Good in this price range
2522,I love it......except one thing that it does not have laptops pouch inside,I love it. except one thing that it does not have laptops pouch inside
2523,Nica bag affordable price,Nica bag affordable price
2524,Good Quality Super Travelling Bag,Good Quality Super Travelling Bag
2525,Not good,Not good
2526,Its good fo everywhere...... 😘,Its good fo everywhere. 😘
2527,Very low quality is it a bag by American tourister backpack i dont agree it very poor quality zips are very bad if you buy this you will be cheated,Very low quality is it a bag by American tourister backpack i dont agree it very poor quality zips are very bad if you buy this you will be cheated
2528,"Very light weight ,spaceous and comfortable","Very light weight ,spaceous and comfortable"
2529,It is not waterproof,It is not waterproof
2530,Bag got torn after 1 month of use.Not very spacious.,Bag got torn after 1 month of use. Not very spacious.
2531,This is good quality bag under budget . Color is very good .,This is good quality bag under budget . Color is very good .
2532,Not of good quality.The tag mark is faded and does not last long.,Not of good quality. The tag mark is faded and does not last long.
2533,This will be very nice if there is rain cover,This will be very nice if there is rain cover
2534,Best in class before also I have used American Tourister bags which lasts for almost 3 years. Now looking for to this bag and they have provided alot of space in this bag which helps while traveling.,Best in class before also I have used American Tourister bags which lasts for almost 3 years. Now looking for to this bag and they have provided alot of space in this bag which helps while traveling.
2535,Huge discount and good product,Huge discount and good product
2536,Value for money good product,Value for money good product
2537,Worth for money,Worth for money
2538,Good quality and Good product..,Good quality and Good product.
2539,The bestest bag ever in world and it's long lasting,The bestest bag ever in world and it's long lasting
2540,Very poor quality not expected from Amazon or American tourist stiches are opening,Very poor quality not expected from Amazon or American tourist stiches are opening
2541,Colour got vanished in one day use.,Colour got vanished in one day use.
2542,Mast,Mast
2543,Fine for daily use and for travelling......,Fine for daily use and for travelling.
2544,Bag is good but it does not look the product which we are able too see in the image,Bag is good but it does not look the product which we are able too see in the image
2545,"The media could not be loaded.
                



 Threads are front chain place loose stitching Not good  I'm not satisfied fully dissoppinted","The media could not be loaded.
                



 Threads are front chain place loose stitching Not good  I'm not satisfied fully dissoppinted"
2546,Ok,Ok
2547,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity
2548,Superb quality,Superb quality
2549,"Suits to my needs, and American tourister is a brand to be trusted","Suits to my needs, and American tourister is a brand to be trusted"
2550,Liked it,Liked it
2551,Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!Don't Purchase Poor Quality Cloth is Used....!,Don't Purchase Poor Quality Cloth is Used. Don't Purchase Poor Quality Cloth is Used. Don't Purchase Poor Quality Cloth is Used. Don't Purchase Poor Quality Cloth is Used. Don't Purchase Poor Quality Cloth is Used.
2552,Light Weight,Light Weight
2553,This bag is not what is made to look like in ads. They are selling very cheap bags by showing virat's face. Bag is not at all over 500 rupees. I usually give good stars to most items but this time I can't lie knowingly.,This bag is not what is made to look like in ads. They are selling very cheap bags by showing virat's face. Bag is not at all over 500 rupees. I usually give good stars to most items but this time I can't lie knowingly.
2554,It's a quite  good look for students...Quality is good ....,It's a quite  good look for students. Quality is good .
2555,Not have enough padding to keep the laptop secure.Not useful for me.Otherwise great for school/college going kids.,Not have enough padding to keep the laptop secure. Not useful for me. Otherwise great for school/college going kids.
2556,Awesome product Quantity,Awesome product Quantity
2557,This bag is fantastic and their space is also good.I love it,This bag is fantastic and their space is also good. I love it
2558,Not original...it's a duplicate,Not original. it's a duplicate
2559,Best for daily use,Best for daily use
2560,"Superb, bag packaging is very good, the bag is also very good. Overall it is good","Superb, bag packaging is very good, the bag is also very good. Overall it is good"
2561,Disappointed by the fact that It doesn't have a laptop compartment. Have not exactly received what was advertised and expected from brands like American Tourister in terms of color and material quality.,Disappointed by the fact that It doesn't have a laptop compartment. Have not exactly received what was advertised and expected from brands like American Tourister in terms of color and material quality.
2562,I feel side pocket quality is not up to mark,I feel side pocket quality is not up to mark
2563,It's a very good product.,It's a very good product.
2564,In looks it deserve 10/8In stitching just got 10/3,In looks it deserve 10/8In stitching just got 10/3
2565,Really good quality and size is sufficient of the bag,Really good quality and size is sufficient of the bag
2566,good,good
2567,nice,nice
2568,No worth,No worth
2569,Good product,Good product
2570,Used rigorously for about one and a half year and still have got no complaint.,Used rigorously for about one and a half year and still have got no complaint.
2571,Acha bag hai light in weight and more big in size in my expectations,Acha bag hai light in weight and more big in size in my expectations
2572,Very nice one  .. no damage I like it very well,Very nice one  . no damage I like it very well
2573,Print was light nd capacity is very less,Print was light nd capacity is very less
2574,"Good quality, durable, light weight","Good quality, durable, light weight"
2575,worth bag,worth bag
2576,Back and side of bag it looks bulky,Back and side of bag it looks bulky
2577,Good value for money.,Good value for money.
2578,Product was good but I was expecting good quality,Product was good but I was expecting good quality
2579,Easily get damage in railway travelling time..,Easily get damage in railway travelling time.
2580,Good for my office,Good for my office
2581,Its for my hubby.he uses it for office.he uses it daily train travel.but its quality is so good that till not damage.he is happy to use.his office colleagues also like this.colour is so graceful.,Its for my hubby. he uses it for office. he uses it daily train travel. but its quality is so good that till not damage. he is happy to use. his office colleagues also like this. colour is so graceful.
2582,"I'm not happy with the bag Quality, The inner Partition cloth is feel so cheap & the bag quality is also cheap. It's looks like fake or the First copy of the American Tourister Bag.I don't recommend other peoples to buy this one.","I'm not happy with the bag Quality, The inner Partition cloth is feel so cheap & the bag quality is also cheap. It's looks like fake or the First copy of the American Tourister Bag. I don't recommend other peoples to buy this one."
2583,Simply awesome,Simply awesome
2584,Very nice bag. Fresh red color. It's absolutely waterproof. Just needed one compartment more.,Very nice bag. Fresh red color. It's absolutely waterproof. Just needed one compartment more.
2585,Do not bug this bag. It's size is very large. I first thought that the white part on the front side was cloth but it turned out to  something else. It kinda looks like paint. And as never expected it started falling off after 2 or 3 months ! And the worst part was that i couldn't even return it as it was too late till I realized it wasn't worth it. Now this bag looks like as if it was made 20 years back. So my advice is that never ever go for it. I am highly disappointed with American Tourister!!,Do not bug this bag. It's size is very large. I first thought that the white part on the front side was cloth but it turned out to  something else. It kinda looks like paint. And as never expected it started falling off after 2 or 3 months . And the worst part was that i couldn't even return it as it was too late till I realized it wasn't worth it. Now this bag looks like as if it was made 20 years back. So my advice is that never ever go for it. I am highly disappointed with American Tourister.
2586,Light weight and water resistance,Light weight and water resistance
2587,Good,Good
2588,100% satisfied,100% satisfied
2589,Pros!1.Looks amazing!2.Have 3 compartments with lots of space and one small compartment in front which is useful3.Good for school and traveling4.zips are all perfect5.Branded comes with warrenty6.on timee delivery with cod.Cons1.Thin material used to build (May tear)2.No rain cover3.not fully waterproof (partially waterproof),Pros.1. Looks amazing.2. Have 3 compartments with lots of space and one small compartment in front which is useful3. Good for school and traveling4. zips are all perfect5. Branded comes with warrenty6. on timee delivery with cod. Cons1. Thin material used to build (May tear)2. No rain cover3. not fully waterproof (partially waterproof)
2590,Just ok,Just ok
2591,Good,Good
2592,Bag not that good quality and go for othe bags,Bag not that good quality and go for othe bags
2593,Average product but kharidna na bhule,Average product but kharidna na bhule
2594,Super bag for kids and college students also it has a front pocket for keeping certain types things the only drawback is that it doesn't not have a raincover it doesn't matter because it is waterproof,Super bag for kids and college students also it has a front pocket for keeping certain types things the only drawback is that it doesn't not have a raincover it doesn't matter because it is waterproof
2595,Nice product good for travel & for school purpose also,Nice product good for travel & for school purpose also
2596,Its an awesome backpack,Its an awesome backpack
2597,Quality is zero from brand like american tourister. .  After few months it starts torningGo for wildcraft instead.,Quality is zero from brand like american tourister. .  After few months it starts torningGo for wildcraft instead.
2598,Value of money,Value of money
2599,Quality n color is gud.. Bst for daily goung basis,Quality n color is gud. Bst for daily goung basis
2600,ok,ok
2601,Super,Super
2602,Material is thin,Material is thin
2603,Overall ok but zip quality is not satisfied,Overall ok but zip quality is not satisfied
2604,Nice product,Nice product
2605,Can buy better,Can buy better
2606,American Tourister Bag is good & Tuff.Go for it.Very beautiful Orange & Grey Colour looks Great on Bag.,American Tourister Bag is good & Tuff. Go for it. Very beautiful Orange & Grey Colour looks Great on Bag.
2607,Fabric is not good,Fabric is not good
2608,This product is most ideal for traveling because of the weightless feeling.Inner compartments r good.,This product is most ideal for traveling because of the weightless feeling. Inner compartments r good.
2609,Like,Like
2610,"The media could not be loaded.
                



 The quality of the product does not seems good. Looks like duplicate or copy product of american touristor.It is like a normal bag sold in the market and they have just printed american touristor to fool customers.","The media could not be loaded.
                



 The quality of the product does not seems good. Looks like duplicate or copy product of american touristor. It is like a normal bag sold in the market and they have just printed american touristor to fool customers."
2611,West bag,West bag
2612,Quality &look is awesome....,Quality &look is awesome.
2613,Nice bag received in olive green color.. Which is nice in quality.,Nice bag received in olive green color. Which is nice in quality.
2614,Good,Good
2615,Not bad,Not bad
2616,Stitching and quality not good . Already the belts r torn .,Stitching and quality not good . Already the belts r torn .
2617,Nice bag,Nice bag
2618,Nice purchase,Nice purchase
2619,Very genuine product. Fully worth of money.,Very genuine product. Fully worth of money.
2620,Had purchased it for my husband's nephew and he really liked it.,Had purchased it for my husband's nephew and he really liked it.
2621,Must contain protection cover from rain,Must contain protection cover from rain
2622,Inner partition stiching came off in about 3 months.Zips are not smooth as it has to be.,Inner partition stiching came off in about 3 months. Zips are not smooth as it has to be.
2623,Good quality good product anyone can buy for travelling or for office use,Good quality good product anyone can buy for travelling or for office use
2624,Bagpack quality is very good.,Bagpack quality is very good.
2625,Good product,Good product
2626,It's in good quality and lots of space try it guys,It's in good quality and lots of space try it guys
2627,Excellent material. Lightweight. Trendy color. Stellar price. Very much satisfied. Top quality,Excellent material. Lightweight. Trendy color. Stellar price. Very much satisfied. Top quality
2628,"Overall, a very good product. Good quality zip. Attractive looks. Recommend for daily use and also for short trips. 😊👍🏼","Overall, a very good product. Good quality zip. Attractive looks. Recommend for daily use and also for short trips. 😊👍🏼"
2629,"Good bag , value for money and good brand.","Good bag , value for money and good brand."
2630,It is so good the colour is awesome no scratch in the bag while delivery good delivery amazon,It is so good the colour is awesome no scratch in the bag while delivery good delivery amazon
2631,Light weight. Nice product. Enough spacious.,Light weight. Nice product. Enough spacious.
2632,The side pockets are made of very delicate net material..already started to tear....so cannot use it..,The side pockets are made of very delicate net material. already started to tear. so cannot use it.
2633,Very good bag,Very good bag
2634,poor,poor
2635,Not bad,Not bad
2636,Nice product,Nice product
2637,Nice product.,Nice product.
2638,Very nice bag for traveling..It has much space so that you can keep too much things for ur journey.Light weight.Looks also great..,Very nice bag for traveling. It has much space so that you can keep too much things for ur journey. Light weight. Looks also great.
2639,Light weight,Light weight
2640,Good,Good
2641,Good product but not water resistant,Good product but not water resistant
2642,Sahi good quality,Sahi good quality
2643,Cheap chinese good,Cheap chinese good
2644,Good product,Good product
2645,The product is good but it is different from what it looks...not that stylish and weigh very less ...very large .. suitable for school boys not for stylish guys....,The product is good but it is different from what it looks. not that stylish and weigh very less . very large . suitable for school boys not for stylish guys.
2646,It's dimensions were good for carrying goods and cloths.. But it's build quality is very poor,It's dimensions were good for carrying goods and cloths. But it's build quality is very poor
2647,It's ok,It's ok
