Unnamed: 0,comments,CleanedText,sentiment
1944,🙏,🙏,POSITIVE
1945,Very good,Very good,POSITIVE
1946,I LIKE THE BAG STABILITY IF YOU ARE GOING TO BUY A SCHOOL BAG GO FOR THIS. I HAVE SKYBAG SCHOOL BAG BEFORE BUT IT IS NOT A GOOD PRODUCT I BUY 2 BAGS BOTH COLORS ARE DULL AND LOOK LIKE OLD BUT AMERICAN TOURISTER HATS OFF TO YOU.,I LIKE THE BAG STABILITY IF YOU ARE GOING TO BUY A SCHOOL BAG GO FOR THIS. I HAVE SKYBAG SCHOOL BAG BEFORE BUT IT IS NOT A GOOD PRODUCT I BUY 2 BAGS BOTH COLORS ARE DULL AND LOOK LIKE OLD BUT AMERICAN TOURISTER HATS OFF TO YOU.,NEGATIVE
1947,Got a faulty bag with some torn part. When my friend noticed it it was moment of shame as he said not to buy the product but i still bought it.Rest it is amazing but plz next time check for faults in your products @amazon!,Got a faulty bag with some torn part. When my friend noticed it it was moment of shame as he said not to buy the product but i still bought it. Rest it is amazing but plz next time check for faults in your products @amazon.,NEGATIVE
1948,Waste backpack from AT it was not what it is showing in the image I feel it is a fake product,Waste backpack from AT it was not what it is showing in the image I feel it is a fake product,POSITIVE
1949,Best product for price,Best product for price,POSITIVE
1950,Good Product 👌👌👌👌Very Nice👌👌👌👌,Good Product 👌👌👌👌Very Nice👌👌👌👌,POSITIVE
1951,Gud bag,Gud bag,NEGATIVE
1953,It is like good not very good,It is like good not very good,NEGATIVE
1954,"The media could not be loaded.
                



 Hight","The media could not be loaded.
                



 Hight",NEGATIVE
1955,extraordinary👍👍👍👍,extraordinary👍👍👍👍,POSITIVE
1956,"The media could not be loaded.
                



 This very light and has very pocket that's help me lot for travelling. Thank you Amazon.","The media could not be loaded.
                



 This very light and has very pocket that's help me lot for travelling. Thank you Amazon.",NEGATIVE
1957,"Worth, low cost branded one,  light weight, large space.,water resistance. s s s s s s s s s s s","Worth, low cost branded one,  light weight, large space.,water resistance. s s s s s s s s s s s",POSITIVE
1958,I think the material is not of a good quality..  other than the material everything is good,I think the material is not of a good quality.  other than the material everything is good,NEGATIVE
1959,Don't buy waste if money,Don't buy waste if money,NEGATIVE
1960,Water resistant and light weight,Water resistant and light weight,POSITIVE
1961,"Nice product , rough n toughm","Nice product , rough n toughm",POSITIVE
1962,"It is good and light weight, not exactly as picture shown in advertise actually it is light dull. In advertising it is high glossy. But nice product. Inside material is very thin","It is good and light weight, not exactly as picture shown in advertise actually it is light dull. In advertising it is high glossy. But nice product. Inside material is very thin",NEGATIVE
1963,Perfect,Perfect,POSITIVE
1964,Nice,Nice,POSITIVE
1965,every thing is ok in this bagpack but i got a damage product.,every thing is ok in this bagpack but i got a damage product.,NEGATIVE
1966,Like,Like,POSITIVE
1967,Nice product at this price range,Nice product at this price range,POSITIVE
1968,It's very spacious and the material quality is good. Got a good deal at very reasonable price. Has 3 compartments. And all are spacious.,It's very spacious and the material quality is good. Got a good deal at very reasonable price. Has 3 compartments. And all are spacious.,POSITIVE
1969,It is good product have big space,It is good product have big space,POSITIVE
1970,"Nice bag, appropriate space, good quality, appearance is ok, but price is little bit high.","Nice bag, appropriate space, good quality, appearance is ok, but price is little bit high.",POSITIVE
1971,Light in weight,Light in weight,POSITIVE
1972,Quality wise they have compromise ....&money only expecting much ..,Quality wise they have compromise .&money only expecting much .,POSITIVE
1973,This bag is awesome u should buy it in 999 rupee. Its a good deal in that price i am very happy about this bag this bag is 100 percent genuine,This bag is awesome u should buy it in 999 rupee. Its a good deal in that price i am very happy about this bag this bag is 100 percent genuine,POSITIVE
1974,It'good but his chain was not impressive..,It'good but his chain was not impressive.,NEGATIVE
1975,Bag as per specification..Delivered very fast,Bag as per specification. Delivered very fast,NEGATIVE
1976,Unsatisfy,Unsatisfy,NEGATIVE
1977,Quality of the bag is not as expected...Looks like a local bag not as a company product,Quality of the bag is not as expected. Looks like a local bag not as a company product,NEGATIVE
1978,Thank you Amazon for a good backpack like this.Lights weight and comfortable and value for money.Just go for it,Thank you Amazon for a good backpack like this. Lights weight and comfortable and value for money. Just go for it,POSITIVE
1979,"Not so happy,,,,,But satisfied.","Not so happy,,,,,But satisfied.",NEGATIVE
1980,Good product,Good product,POSITIVE
1981,Everything is good about d bag. D only thing I'm nt liking is d net given in side of bag. It's too highlighting plus too hard.,Everything is good about d bag. D only thing I'm nt liking is d net given in side of bag. It's too highlighting plus too hard.,NEGATIVE
1982,Osm,Osm,NEGATIVE
1983,"Still a new one,  lot of space in it,  so u might get surprised how many things can b kept in it,","Still a new one,  lot of space in it,  so u might get surprised how many things can b kept in it,",POSITIVE
1984,"The media could not be loaded.
                



 ❤️❤️","The media could not be loaded.
                



 ❤️❤️",NEGATIVE
1985,Ok,Ok,POSITIVE
1987,Quality of this  product is very poor,Quality of this  product is very poor,NEGATIVE
1988,Worth the money . Nice color. Good material,Worth the money . Nice color. Good material,POSITIVE
1989,I have bought the bag at only 799 and trust me it is a really good deal at this price point. The bag is thin and light weight. It looks very stylish.,I have bought the bag at only 799 and trust me it is a really good deal at this price point. The bag is thin and light weight. It looks very stylish.,POSITIVE
1990,Worst material quality..I think this bag 2nd or 3rd quality.,Worst material quality. I think this bag 2nd or 3rd quality.,NEGATIVE
1991,Good looks....light weight..value for money...got for 804rs in sale,Good looks. light weight. value for money. got for 804rs in sale,NEGATIVE
1992,nice product and fast delivery,nice product and fast delivery,POSITIVE
1993,Not good,Not good,NEGATIVE
1994,Quality is not maintained,Quality is not maintained,NEGATIVE
1995,Not so durable don't buy it,Not so durable don't buy it,NEGATIVE
1996,Good quality...But made in China tag,Good quality. But made in China tag,POSITIVE
1997,Great volume the bag is quite handy and can hold a lot of things. But there is no laptop compartment.,Great volume the bag is quite handy and can hold a lot of things. But there is no laptop compartment.,POSITIVE
1998,Thread is coming out within 10 days of purchasing,Thread is coming out within 10 days of purchasing,NEGATIVE
1999,Bag quality is really nice. Sent me Original American Touriter bag.Everything is good.Just loved it,Bag quality is really nice. Sent me Original American Touriter bag. Everything is good. Just loved it,POSITIVE
2000,Average quality,Average quality,POSITIVE
2001,Don't buy,Don't buy,POSITIVE
2002,Ultra light weight ..... But not so good in water resistant..,Ultra light weight . But not so good in water resistant.,NEGATIVE
2003,Nice productBut the material seems to be localBut it has the quality by american touristerNice product,Nice productBut the material seems to be localBut it has the quality by american touristerNice product,POSITIVE
2004,"Don't let a brand fool you. I never expected such a poor quality product from them. For starters, inside of the bag tore and it's like one compartment with two zibs. It looks nice. Looks can always be deceiving. Learnt it the hard way.","Don't let a brand fool you. I never expected such a poor quality product from them. For starters, inside of the bag tore and it's like one compartment with two zibs. It looks nice. Looks can always be deceiving. Learnt it the hard way.",NEGATIVE
2005,"Worthy for penny Seems to be improve,there is no spongy layers in between 2 &3 compartmentI like to know about it was original or fake","Worthy for penny Seems to be improve,there is no spongy layers in between 2 &3 compartmentI like to know about it was original or fake",NEGATIVE
2006,Ok ok product,Ok ok product,POSITIVE
2007,No special space for keep laptop.,No special space for keep laptop.,NEGATIVE
2008,"Bag is light, quality is poor.","Bag is light, quality is poor.",NEGATIVE
2009,"The media could not be loaded.
                



 Look and light weightsBetter than expectedWater resistance","The media could not be loaded.
                



 Look and light weightsBetter than expectedWater resistance",NEGATIVE
2010,Good quality but without Laptop Compartment..Original product.,Good quality but without Laptop Compartment. Original product.,POSITIVE
2011,Worst,Worst,NEGATIVE
2012,Bag is almost good but no laptop compartment,Bag is almost good but no laptop compartment,NEGATIVE
2013,Good,Good,POSITIVE
2014,Its good product,Its good product,POSITIVE
2015,Good,Good,POSITIVE
2016,It's not water resistant at all,It's not water resistant at all,NEGATIVE
2017,Over priced,Over priced,POSITIVE
2018,Quality is very low. Like normal 400-500 bag.,Quality is very low. Like normal 400-500 bag.,NEGATIVE
2019,Colour like,Colour like,POSITIVE
2020,Bag looks good and spacious......But it doesn't look like 1150/-.......As the zips r not good and it doesn't look water proof....Zips r very poor except one zip in front bottom....Other wise 👌,Bag looks good and spacious. But it doesn't look like 1150/-. As the zips r not good and it doesn't look water proof. Zips r very poor except one zip in front bottom. Other wise 👌,NEGATIVE
2021,Build quality not good,Build quality not good,NEGATIVE
2022,"Too good,, 😍 I love it","Too good,, 😍 I love it",POSITIVE
2023,Poor matarial use,Poor matarial use,NEGATIVE
2024,Good product,Good product,POSITIVE
2025,This bag is very lightweight this is my personal experience,This bag is very lightweight this is my personal experience,NEGATIVE
2026,"Bright, spacious and great for daily use or travelling purposes. Multi pockets make it easier to space things out. Worth the price.","Bright, spacious and great for daily use or travelling purposes. Multi pockets make it easier to space things out. Worth the price.",POSITIVE
2027,Very nice quality ....got it un a deal but very nice according to price ....should purchase ...good for school or college,Very nice quality . got it un a deal but very nice according to price . should purchase . good for school or college,POSITIVE
2028,Good,Good,POSITIVE
2029,Dislike,Dislike,NEGATIVE
2030,Good,Good,POSITIVE
2031,Product quality not do expected,Product quality not do expected,POSITIVE
2032,Most bad quality bag I ever use. After 10days of using it fabrics getting useless & damage,Most bad quality bag I ever use. After 10days of using it fabrics getting useless & damage,NEGATIVE
2033,Nice product for regular use. Original product with official mark.,Nice product for regular use. Original product with official mark.,POSITIVE
2034,The bag is so attractive🔥🔥,The bag is so attractive🔥🔥,POSITIVE
2035,No water resistance. Even cover is not included with this product. Durability is okay if we don't consider water resistance. O don't find it to be an AT level product.,No water resistance. Even cover is not included with this product. Durability is okay if we don't consider water resistance. O don't find it to be an AT level product.,NEGATIVE
2036,Nice one worth it,Nice one worth it,POSITIVE
2037,I like this product,I like this product,POSITIVE
2038,Good to carry out,Good to carry out,POSITIVE
2039,Worth for money 800,Worth for money 800,POSITIVE
2040,It could be more sturdy... The water bottle holder net got torn within 3 months and even the bottom small pocket got a tiny hole as the thread loosened.,It could be more sturdy. The water bottle holder net got torn within 3 months and even the bottom small pocket got a tiny hole as the thread loosened.,NEGATIVE
2041,Old product dirty,Old product dirty,NEGATIVE
2042,Same like picture,Same like picture,POSITIVE
2043,This bag looks good but in photo & real there are so many differences.But it is good for daily life,This bag looks good but in photo & real there are so many differences. But it is good for daily life,POSITIVE
2044,Water resistant not perfect,Water resistant not perfect,NEGATIVE
2045,Best bag for student,Best bag for student,POSITIVE
2046,Very gud products and NYC products  👌 and be sure that you 😀 😉 that for and lite bat shee,Very gud products and NYC products  👌 and be sure that you 😀 😉 that for and lite bat shee,POSITIVE
2048,Good,Good,POSITIVE
2049,Very much Setisfied,Very much Setisfied,NEGATIVE
2050,Almost satisfactory,Almost satisfactory,POSITIVE
2051,Good space in bag,Good space in bag,POSITIVE
2052,Nice product,Nice product,POSITIVE
2053,Not very good bag just ok for childs,Not very good bag just ok for childs,NEGATIVE
2054,Good,Good,POSITIVE
2055,Over all Good Product,Over all Good Product,POSITIVE
2056,Good,Good,POSITIVE
2057,Chiep,Chiep,POSITIVE
2058,Good,Good,POSITIVE
2059,Good and costly to much,Good and costly to much,POSITIVE
2060,It has a huge space,It has a huge space,POSITIVE
2061,"Except the fact that thickness of the material is less, it's a great product.","Except the fact that thickness of the material is less, it's a great product.",POSITIVE
2063,Third class quality,Third class quality,POSITIVE
2064,Very nice bag with great price. My friend loved it,Very nice bag with great price. My friend loved it,POSITIVE
2065,After seeing some reviews I felt worried but this is an awesome backpack. Using for 1 month totally satisfied,After seeing some reviews I felt worried but this is an awesome backpack. Using for 1 month totally satisfied,POSITIVE
2066,Looks completely different when you compare with the photo shown here. Quality is good. Prielce is high.,Looks completely different when you compare with the photo shown here. Quality is good. Prielce is high.,POSITIVE
2067,Look good...... But not so good it's normal backpack colour is awesome ........ And the most important zips is amazing,Look good. But not so good it's normal backpack colour is awesome . And the most important zips is amazing,POSITIVE
2068,Got it on discounted price in an offer. Its become my new travel buddy..!! Great product and thanks for the discount.,Got it on discounted price in an offer. Its become my new travel buddy. Great product and thanks for the discount.,POSITIVE
2069,"Printing Qwality not good(Americal Touristor Print on Front Side), but product is very good.","Printing Qwality not good(Americal Touristor Print on Front Side), but product is very good.",NEGATIVE
2070,The bag is very nice more space than other bag very good product thank you Amazon,The bag is very nice more space than other bag very good product thank you Amazon,POSITIVE
2071,Good ..what i need.. good space and green and grey gives awesome look to u.. laptop like compartment in 2 nd chain love this ... and the bag of back is to soft while hanging on ur shoulder u feel like that u carry nothing in bag 😚And the bag on sale ₹1029 👌good deal just go for it,Good . what i need. good space and green and grey gives awesome look to u. laptop like compartment in 2 nd chain love this . and the bag of back is to soft while hanging on ur shoulder u feel like that u carry nothing in bag 😚And the bag on sale ₹1029 👌good deal just go for it,POSITIVE
2072,Very good quality,Very good quality,POSITIVE
2073,"No dislikes within this product, colour is attractive mode, insights r awesome to place our belongings like hand kerchief, bottles, pocket wallets... it'll be more feasible for endured travelling s for the time being of occasions, trips,festives...etc","No dislikes within this product, colour is attractive mode, insights r awesome to place our belongings like hand kerchief, bottles, pocket wallets. it'll be more feasible for endured travelling s for the time being of occasions, trips,festives. etc",POSITIVE
2074,Nice bag but not much duarable,Nice bag but not much duarable,NEGATIVE
2075,Original product and value for money product,Original product and value for money product,POSITIVE
2076,The media could not be loaded.,The media could not be loaded.,NEGATIVE
2077,receiving product as not as showing image..... but not bed...,receiving product as not as showing image. but not bed.,NEGATIVE
2078,Office,Office,POSITIVE
2079,Very thin product waste of money,Very thin product waste of money,NEGATIVE
2080,Nice bag perfect for children,Nice bag perfect for children,POSITIVE
2081,Quality of bag is not good,Quality of bag is not good,NEGATIVE
2082,good,good,POSITIVE
2083,Material quality is like raincoat or else vehicle cover. It may look good  but quality is not as expected.Buy at your own risk 🙃,Material quality is like raincoat or else vehicle cover. It may look good  but quality is not as expected. Buy at your own risk 🙃,POSITIVE
2084,Very good quality and design i Love it,Very good quality and design i Love it,POSITIVE
2085,Nice product with good pricing,Nice product with good pricing,POSITIVE
2086,Product is excellent for this price,Product is excellent for this price,POSITIVE
2087,The product is of good quality.,The product is of good quality.,POSITIVE
2088,Good product,Good product,POSITIVE
2089,Amazing and original product. In love with it.,Amazing and original product. In love with it.,POSITIVE
2090,Bought it 2 eka back.so far good.light wt.,Bought it 2 eka back. so far good. light wt.,POSITIVE
2091,Its having American tourister but with made in IndiaAnd American tourister is Chinese brand,Its having American tourister but with made in IndiaAnd American tourister is Chinese brand,NEGATIVE
2092,Water resistance quality is very poor,Water resistance quality is very poor,NEGATIVE
2093,Produced is very nice,Produced is very nice,POSITIVE
2094,Good product 👍,Good product 👍,POSITIVE
2095,It's a good looks good colour also looks good quality is ok but as per brand it's not that good it's not a rain proof,It's a good looks good colour also looks good quality is ok but as per brand it's not that good it's not a rain proof,POSITIVE
2096,Pocket are less,Pocket are less,NEGATIVE
2097,I got lucky and got good deal product quality is very good and i always have good exprience with amazon products,I got lucky and got good deal product quality is very good and i always have good exprience with amazon products,POSITIVE
2098,Nice quality and design best brand must buy this product i love this item I’ll buy it again thankyou love it,Nice quality and design best brand must buy this product i love this item I’ll buy it again thankyou love it,POSITIVE
2099,It wasnt suitable. it folds quickly. It is durable but I dont want to use it.,It wasnt suitable. it folds quickly. It is durable but I dont want to use it.,NEGATIVE
2100,"Don't skip this review! I am studying in 11th Std. I purchased this bag, Delivery was good. To say the truth This bag is small for a school student. It is perfect for college students, quality wise it'd not soo good","Don't skip this review. I am studying in 11th Std. I purchased this bag, Delivery was good. To say the truth This bag is small for a school student. It is perfect for college students, quality wise it'd not soo good",NEGATIVE
2101,Its awesome product,Its awesome product,POSITIVE
2102,It's good under₹800 orr almost this price range,It's good under₹800 orr almost this price range,POSITIVE
2103,Very good product,Very good product,POSITIVE
2104,The product is superb with light weight.the only thing is missing is the key chain which is being provided by the brand. And the warranty card seller stamping is not done.,The product is superb with light weight. the only thing is missing is the key chain which is being provided by the brand. And the warranty card seller stamping is not done.,NEGATIVE
2105,Improve quality,Improve quality,POSITIVE
2106,Nice,Nice,POSITIVE
2107,Saandar by- air...,Saandar by- air.,POSITIVE
2108,I liked this product,I liked this product,POSITIVE
2109,"Like-good space, good fabric, chains are good quality.Dislike-only concern from backside it should be little bit hard to keep it straight","Like-good space, good fabric, chains are good quality. Dislike-only concern from backside it should be little bit hard to keep it straight",POSITIVE
2110,Bag is good but Quality is very bad  😞 just like a local brand.,Bag is good but Quality is very bad  😞 just like a local brand.,NEGATIVE
2111,Waste of money,Waste of money,NEGATIVE
2112,Very nice bag,Very nice bag,POSITIVE
2113,It's okk in first use.Looking good product.,It's okk in first use. Looking good product.,POSITIVE
2114,"Its good but when i washed the bag , its design came off","Its good but when i washed the bag , its design came off",POSITIVE
2115,It's really  specious & very comfortable for traveling.,It's really  specious & very comfortable for traveling.,POSITIVE
2116,"Nice productQuality is best, colour combination is very nice.At reasonable price product is very good","Nice productQuality is best, colour combination is very nice. At reasonable price product is very good",POSITIVE
2117,Everything is fine no problem in this bag.,Everything is fine no problem in this bag.,POSITIVE
2118,Not so bad,Not so bad,POSITIVE
2119,Not water resistant,Not water resistant,NEGATIVE
2120,Value for money,Value for money,POSITIVE
2121,Nice quality,Nice quality,POSITIVE
2122,Decent as it's price,Decent as it's price,POSITIVE
2123,Nice bag.,Nice bag.,POSITIVE
2124,"Using since one year, still in good condition","Using since one year, still in good condition",POSITIVE
2125,Not water resistant,Not water resistant,NEGATIVE
2126,Like,Like,POSITIVE
2127,It is very good am satisfied,It is very good am satisfied,POSITIVE
2128,Not worth buying coz it start peeling after a month. Please stop buy. Waste of money.,Not worth buying coz it start peeling after a month. Please stop buy. Waste of money.,NEGATIVE
2129,Effective price 717only,Effective price 717only,POSITIVE
2130,Best product,Best product,POSITIVE
2131,Awsome Bag quality ❤️,Awsome Bag quality ❤️,NEGATIVE
2132,Key is not up to the mark,Key is not up to the mark,NEGATIVE
2133,American tourister at this price is really nice to buy. My kids have been using American tourister bags for the last few years. Favourite brand for school bags. First time bought from Amazon. Durable bags.,American tourister at this price is really nice to buy. My kids have been using American tourister bags for the last few years. Favourite brand for school bags. First time bought from Amazon. Durable bags.,POSITIVE
2134,"Well the look is as given in the photos, light weight and has too much of space. Its very classy bag.","Well the look is as given in the photos, light weight and has too much of space. Its very classy bag.",POSITIVE
2135,Average quality,Average quality,POSITIVE
2136,Material is good,Material is good,POSITIVE
2137,Value for money,Value for money,POSITIVE
2138,It is suitable only for traveling. But for school and college it is not good because of its big size.,It is suitable only for traveling. But for school and college it is not good because of its big size.,NEGATIVE
2139,"I use this bag for like a year or so and it's still durable. I use it daily, many people even step on it when I travel in bus but its stands strong.","I use this bag for like a year or so and it's still durable. I use it daily, many people even step on it when I travel in bus but its stands strong.",POSITIVE
2140,"Good, value for money","Good, value for money",POSITIVE
2141,The self weight of bag is very less in comparison to other bag. And very comfort with users. It divert the weight on all-over your back that we feel less weight than original weight. I bought it in month of June and this is November till now no complaints.,The self weight of bag is very less in comparison to other bag. And very comfort with users. It divert the weight on all-over your back that we feel less weight than original weight. I bought it in month of June and this is November till now no complaints.,NEGATIVE
2142,Durable.. Worth the price,Durable. Worth the price,POSITIVE
2143,Happy abt the producr,Happy abt the producr,POSITIVE
2146,Super product IAM satisfied,Super product IAM satisfied,POSITIVE
2147,The bags looks really good and is big and strong enough to carry lots of books amd stuff. It's water resistant to much extent.,The bags looks really good and is big and strong enough to carry lots of books amd stuff. It's water resistant to much extent.,POSITIVE
2149,Nice product,Nice product,POSITIVE
2150,"Dear friend , I ordered this bag and now I fully satisfy with its quality and space in it. And delivery was too good. I purchase it 918 rs and after I got some another discount so effective price is 780 rs. So if u want buy this bag so u can purchase it.","Dear friend , I ordered this bag and now I fully satisfy with its quality and space in it. And delivery was too good. I purchase it 918 rs and after I got some another discount so effective price is 780 rs. So if u want buy this bag so u can purchase it.",NEGATIVE
2151,Average,Average,POSITIVE
2152,I like the bag but pure orange collour is not proper.All is ok.Like it.Buy for high item keptable.Thanks.,I like the bag but pure orange collour is not proper. All is ok. Like it. Buy for high item keptable. Thanks.,NEGATIVE
2153,Nice product.  . But not warmer resistance.  .,Nice product.  . But not warmer resistance.  .,POSITIVE
2154,"Superfast delivery by Amazon,got in less than 24 hours. Appearance stylish,light weight. Carried 8 kg in it on a journey.Quality as expected from brand.Happy purchase.","Superfast delivery by Amazon,got in less than 24 hours. Appearance stylish,light weight. Carried 8 kg in it on a journey. Quality as expected from brand. Happy purchase.",NEGATIVE
2155,Nice,Nice,POSITIVE
2156,Its color is not exactly same as shown in the image,Its color is not exactly same as shown in the image,NEGATIVE
2157,Too big...,Too big.,POSITIVE
2158,Nice product,Nice product,POSITIVE
2159,valuable product.,valuable product.,POSITIVE
2160,"I liked it very much, light weight, good quality zipper, good fabrics, good lases, seems durable. Hope for the best. Thanks.","I liked it very much, light weight, good quality zipper, good fabrics, good lases, seems durable. Hope for the best. Thanks.",POSITIVE
2161,Long enough to keep long drawing books and other books.,Long enough to keep long drawing books and other books.,NEGATIVE
2162,Good quality. Nice product...,Good quality. Nice product.,POSITIVE
2163,Best quality,Best quality,POSITIVE
2164,"The bag is good looking,  attractive and nice,  but I strongly recommend to take a time to think about the quality,  mine,  got torn in about 2 months....","The bag is good looking,  attractive and nice,  but I strongly recommend to take a time to think about the quality,  mine,  got torn in about 2 months.",POSITIVE
2165,"You could mention ""water resistance"", ""for travelling"" and ""light weight"".","You could mention ""water resistance"", ""for travelling"" and ""light weight"".",NEGATIVE
2166,Nice bag.. good space..,Nice bag. good space.,POSITIVE
2167,Ultimate product,Ultimate product,POSITIVE
2168,Not so good,Not so good,NEGATIVE
2169,I've used this bag for more than one month.  It's all good till now.,I've used this bag for more than one month.  It's all good till now.,NEGATIVE
2170,Outer material is not good,Outer material is not good,NEGATIVE
2171,"Good product nice to carry for trip, but inner layer are too light but no problem v can handle it","Good product nice to carry for trip, but inner layer are too light but no problem v can handle it",POSITIVE
2172,"I like this colour of bag (red) , light weight,","I like this colour of bag (red) , light weight,",NEGATIVE
2173,But not better than skybag quality,But not better than skybag quality,NEGATIVE
2174,The bag is comfortable to carry things,The bag is comfortable to carry things,POSITIVE
2175,"Good product from AT. I like the bag, size is enough for daily routine offices, works but one more zip will be beneficial.","Good product from AT. I like the bag, size is enough for daily routine offices, works but one more zip will be beneficial.",POSITIVE
2176,Nice product,Nice product,POSITIVE
2177,Best product,Best product,POSITIVE
2178,This is completely come as it is shown in the pic.. no issues.. till i received..,This is completely come as it is shown in the pic. no issues. till i received.,NEGATIVE
2179,Vry good,Vry good,POSITIVE
2180,Very good,Very good,POSITIVE
2181,Light weight,Light weight,POSITIVE
2182,Nice product...,Nice product.,POSITIVE
2183,This bag is awesome it is comfortable to wear this bag is water resistant light weight and comfortable for travelling.,This bag is awesome it is comfortable to wear this bag is water resistant light weight and comfortable for travelling.,POSITIVE
2184,Light weight,Light weight,POSITIVE
2185,Good product,Good product,POSITIVE
2186,Go for it blindly without hesitation it will be good more than you expectation,Go for it blindly without hesitation it will be good more than you expectation,NEGATIVE
2187,Quality is below averageNot up to the mark so i return the product.,Quality is below averageNot up to the mark so i return the product.,POSITIVE
2188,Packing is not good,Packing is not good,NEGATIVE
2189,Light wait,Light wait,NEGATIVE
2190,Good bag and it has good colour I suggest to other consumer to buy it.,Good bag and it has good colour I suggest to other consumer to buy it.,POSITIVE
2191,Very good product,Very good product,POSITIVE
2192,Full comfatablables,Full comfatablables,NEGATIVE
2193,Great design,Great design,POSITIVE
2194,Nyc bag............,Nyc bag.,NEGATIVE
2195,Good product,Good product,POSITIVE
2196,Good product,Good product,POSITIVE
2197,Nice to carry,Nice to carry,POSITIVE
2198,Water resistant,Water resistant,POSITIVE
2199,Superb... Is it very easy to carry.....,Superb. Is it very easy to carry.,POSITIVE
2200,Gud product,Gud product,NEGATIVE
2201,Light weight,Light weight,POSITIVE
2202,Good product,Good product,POSITIVE
2203,It's a light weight bag and it is use traveling comfortableGood quality bagAnd looking so good,It's a light weight bag and it is use traveling comfortableGood quality bagAnd looking so good,POSITIVE
2204,Good product,Good product,POSITIVE
2205,Good quality...,Good quality.,POSITIVE
2206,Nice ..products,Nice . products,POSITIVE
2207,Less capacity,Less capacity,POSITIVE
2208,Made of flexible material. Cant stand straight as shown in picture.,Made of flexible material. Cant stand straight as shown in picture.,POSITIVE
2209,This is the best traveling bag.we can go anywhere simply is this using durability and compatibility..Lots of space,This is the best traveling bag. we can go anywhere simply is this using durability and compatibility. Lots of space,NEGATIVE
2210,Nice products,Nice products,POSITIVE
2211,It is good but the green straps should not be there,It is good but the green straps should not be there,POSITIVE
2212,In only 3months the threads of bags are broken,In only 3months the threads of bags are broken,NEGATIVE
2213,Nice quality and worth for money,Nice quality and worth for money,POSITIVE
2214,"Bag is good ,it has have big space inside and the zip quality is very good","Bag is good ,it has have big space inside and the zip quality is very good",POSITIVE
2215,Good product,Good product,POSITIVE
2216,Light weight,Light weight,POSITIVE
2217,Good but not great,Good but not great,NEGATIVE
2218,Not bad,Not bad,POSITIVE
2219,Awesome product....,Awesome product.,POSITIVE
2220,Nice product,Nice product,POSITIVE
2222,Perfect school bag,Perfect school bag,POSITIVE
2223,I really loved this bag. It looks super stylish and comfortable. Really just buy it I highly recommend this product.,I really loved this bag. It looks super stylish and comfortable. Really just buy it I highly recommend this product.,POSITIVE
2224,Good backpack.,Good backpack.,POSITIVE
2225,Very nice,Very nice,POSITIVE
2226,Good product,Good product,POSITIVE
2227,"Super product, I loved it a lot. Thanks amazon for safe delivery. Loved this product and got it for better price.","Super product, I loved it a lot. Thanks amazon for safe delivery. Loved this product and got it for better price.",POSITIVE
2228,"Great product. It is lightweight and greatly designed. But if you are going for a rough use, beware of the whites getting dirty. If you keep it on the ground while traveling, it can get dirty easily but this is reversible.","Great product. It is lightweight and greatly designed. But if you are going for a rough use, beware of the whites getting dirty. If you keep it on the ground while traveling, it can get dirty easily but this is reversible.",NEGATIVE
2229,I've been using this product from last 3 months. The main problem is some unfinished stitches came out while carrying,I've been using this product from last 3 months. The main problem is some unfinished stitches came out while carrying,NEGATIVE
2230,Really amazing this bag. No problem facing using this bag ....till now (2 years). Look like Good and product also good quality. But I don't know is this bag water proof or not??? ........silly scratch come in Lowe part of the bag ......other wise good,Really amazing this bag. No problem facing using this bag . till now (2 years). Look like Good and product also good quality. But I don't know is this bag water proof or not. . silly scratch come in Lowe part of the bag . other wise good,POSITIVE
2231,I expected it could be better but it did not reach up to my thoughts,I expected it could be better but it did not reach up to my thoughts,NEGATIVE
2232,Nice look,Nice look,POSITIVE
2233,Lot of space. Slim & light in weight. Back cushion which give more comfort. Worth the value.,Lot of space. Slim & light in weight. Back cushion which give more comfort. Worth the value.,POSITIVE
2234,Very good bag go for it ..,Very good bag go for it .,POSITIVE
2235,Still going badass very bestest bag i love it thank you american tourister😀😀,Still going badass very bestest bag i love it thank you american tourister😀😀,POSITIVE
2236,It's Light Weight & Attractive design..,It's Light Weight & Attractive design.,POSITIVE
2237,Nice product,Nice product,POSITIVE
2238,Good,Good,POSITIVE
2239,"The bag is not as it is shown, there is no support system that's why the bag gets fully bend","The bag is not as it is shown, there is no support system that's why the bag gets fully bend",NEGATIVE
2240,Good product,Good product,POSITIVE
2241,This item is good,This item is good,POSITIVE
2242,Liked it especially if you want to travel with laptop along with clothes for one to two days.,Liked it especially if you want to travel with laptop along with clothes for one to two days.,NEGATIVE
2243,I like this product. Thank you amazon 👍♥,I like this product. Thank you amazon 👍♥,POSITIVE
2244,Liked the product and service .Light in weight but the fabric was not so good.Buy at your choice.,Liked the product and service . Light in weight but the fabric was not so good. Buy at your choice.,NEGATIVE
2245,"Its light weighted, I'm doubtful if it's original or not. But let's see","Its light weighted, I'm doubtful if it's original or not. But let's see",NEGATIVE
2246,Plz don't buy this bag....it's waste of money.....,Plz don't buy this bag. it's waste of money.,NEGATIVE
2247,Good one,Good one,POSITIVE
